Apotekergata+N+Prop+Sem/Plc	Apotekergt	ˈɑ.po.tˌe.ker#gh
eana+Sem/Plc+v2+N+Sg+Acc+PxSg1	eatnaman	ˈeæt.nɑ.mɑn
eana+Sem/Plc+v2+N+Sg+Nom+PxSg2	eatnamat	ˈeæt.nɑ.mɑh
eana+Sem/Plc+v2+N+Sg+Gen	eatnama	ˈeæt.nɑ.mɑ
eana+Sem/Plc+v2+N+Sg+Ill	eatnamii	ˈeæt.nɑ.mij
eana+Sem/Plc+v2+N+Der/Dimin+N+Sg+Acc	eatnamačča	ˈeæt.nɑm»ˌɑt.tʃɑ
eana+Sem/Plc+v3+N+Pl+Nom	eatnamat	ˈeæt.nɑ.mɑh
eana+Sem/Plc+v3+N+Sg+Nom+PxDu3	eatnameaskka	ˈeæt.nɑ.mˌeæs.kɑ
eana+Sem/Plc+v3+N+Sg+Nom+PxSg1	eatnaman	ˈeæt.nɑ.mɑn
eana+Sem/Plc+v3+N+Der/Dimin+N+Sg+Com+PxPl1	eatnamaččaineamet	ˈeæt.nɑm»ˌɑt.tʃɑj.nˌĕæ.meh
eana+Sem/Plc+v3+N+Der/Dimin+N+Sg+Ill	eatnamažžii	ˈeæt.nɑm»ˌɑdː.tʃij
eana+Sem/Plc+v3+N+Sg+Nom	eatnan	ˈeæt.nɑn
eana+Sem/Plc+v3+N+Der/heapmi+A+Attr	eatnanhis	ˈeæt.nɑn»his
eana+Sem/Plc+v3+N+Der/laš+A+Attr+Der/vuohta+N+Sg+Ill	eatnanlašvuhtii	ˈeæt.nɑn»lɑʃ»vˌuh.tij
eana+Sem/Plc+v3+N+Der/viđá+Adv	eatnanviđá	ˈeæt.nɑn»vˌi.ðɑː
eana+Sem/Plc+N+Ess+PxPl1	eananeamet	ˈeæ.nɑ.nˌĕæ.meh
eana+Sem/Plc+N+Der/viđá+Adv	eanamviđá	ˈeæ.nɑm»vˌi.ðɑː
eana+Sem/Plc+N+Sg+Nom	eanan	ˈeæ.nɑn
eana+Sem/Plc+N+Sg+Gen	eatnama	ˈeæt.nɑ.mɑ
eana+Sem/Plc+N+Der/Dimin+N+Sg+Nom	eatnamaš	ˈeæt.nɑm»ɑʃ
eana+Sem/Plc+N+Der/Dimin+N+Sg+Gen+PxPl1	eatnamažžamet	ˈeæt.nɑm»ˌɑdː.tʃɑ.meh
eana+Sem/Plc+N+Der/viđá+Adv	eatnanviđá	ˈeæt.nɑn»vˌi.ðɑː
ealga+Sem/Ani+N+Sg+Ill	elgii	ˈelə.kij
eammi+Sem/Hum+N+Pl+Ill	emmiide	ˈem.mij.de
eavru+Sem/Plant+N+Der/Dimin+N+Ess	evrrožin	ˈeβr.ro»dʃin
eaktudit+V+TV+Imprt+Sg3	eaktudus	ˈeækː.htu.dus
eanandoallodepartemeanta+Sem/Org+Sem/Plc+N+Sg+Ill	eatnandoallodepartementii	ˈeæt.nɑn#tˌŏɑl.lo#tˌe.pɑr.htˌe.menː.n̥tij
ebelmuorra+N+Sg+Ill	ebelmurrii	ˈeː.bel#mˌur.rij
ebmui+A+Pl+Acc	ebmuid	ˈeb.mujh
ecstasy+N+Pl+Nom	ecstasyt	ˈets.stɑ.syh
ecstasy+N+Sg+Ill	ecstasyi	ˈets.stɑ.syj
editor+N+Pl+Com+PxPl3	editoriiddisetguin	ˈe.di.tˌo.rijt.tˌi.set.gujn
editor+N+Sg+Com+PxDu3	editoriinniska	ˈe.di.tˌo.rijnː.nˌis.kɑ
effeakta+N+Ess+PxDu2	effeaktaneatte	ˈef.feækː.htˌɑ.nĕæt.te
effektiviseret+V+TV+Ind+Prt+Du2	effektiviseriide	ˈef.fekː.htˌi.vi.sˌe.rij.de
ehket+V+IV+Imprt+ConNeg	ehke	ˈeːh.ke
ehtet+V+IV+Ind+Prt+Pl2	ehtiidet	ˈeːh.tij.deh
eiddo+Pcle	eiddo	ˈejt.to
eigga+Pcle	eigga	ˈejkː.kɑː
ein+Adv	ein	ˈejn
eiseváldi+Sem/Org+N+Der/heapmi+A+Attr+Der/vuohta+N+Sg+Ill	eisseválddehisvuhtii	ˈejs.se#vˌɑːlt.te»his»vˌuh.tij
ejakuleret+V+IV+Ind+Prt+Sg3	ejakulerii	ˈe.jɑː.kˌu.le.rij
ekvaliserenapposišuvdna+N+Sg+Ill	ekvaliserenapposišuvdnii	ˈek.vɑː.lˌi.se.ren#ˌɑp.po.sˌi.ʃuv.tnij
ellágádus+Sem/Org+Sem/Plc+N+Der/Dimin+N+Sg+Nom	ellágádusaš	ˈel#lˌɑː.gɑː.dˌu.sɑ»ʃ
ellohit+V+TV+Actio+Gen	ellohan	ˈel.lo.hɑn
ellot+V+IV+Ind+Prt+Du2	elluide	ˈel.luj.de
emulgeret+V+TV+VAbess+A+Attr	emulgerekeahtes	ˈeː.mulə.gˌe.re.kˌĕæh.tes
enharmonalaš+A+Superl+Attr	enharmonaleamos	ˈen.hɑːr.mˌo.nɑ.lˌĕæ.mos
enveisreguleret+V+TV+Ind+Prt+Du2	enveisreguleriide	ˈenː.vejs#rˌe.gu.lˌe.rij.de
eppel+Sem/Plant+N+Der/viđá+Adv	eppelviđá	ˈep.pel»vˌi.ðɑː
erenoamášvuohta+N+Sg+Ill+PxSg1	earenoamášvuohtasan	ˈĕæ.re.nˌoɑ.mɑːʃ.vˌuoh.tɑ.sɑn
erenoamáš+A+Pl+Ill	earenomážiidda	ˈĕæ.re.nˌo.mɑː.dʃˌijt.tɑ
erenoamáš+v4+A+Sg+Ill	earenomážii	ˈĕæ.re.nˌo.mɑː.dʃij
eskapisma+N+Der/Dimin+N+Der/viđá+Adv	eskapismmašviđá	ˈesː.kɑː.pˌis.mɑ»ʃ»vˌi.ðɑː
esseansa+N+Sg+Ill	essensii	ˈes.sen.sij
etablerenstipeanda+N+Sg+Ill	etablerenstipendii	ˈe.tɑːb.lˌe.ren#stˌi.pen.dij
etablerenstipeanda+N+Sg+Loc	etablerenstipeanddas	ˈe.tɑːb.lˌe.ren#stˌi.peænt.tɑs
eufemisttalaš+A+Superl+Der/at+Adv	eufemisttalepmosit	ˈeu.fe.mˌis.tɑ.lˌep.mo.sih
eufemisttalaš+A+Der/vuohta+N+Sg+Ill	eufemisttalašvuhtii	ˈeu.fe.mˌis.tɑ.lɑʃ»vˌuh.tij
evttohit+V+TV+Der/meahttun+A+Ess	evttotmeahttumin	ˈeβɸ.toh»mˌĕæhː.tu.min
exeret+V+TV+Ind+Prt+Du1	exeriime	ˈeks.e.rˌij.me
eŋgelas+A+AttrCmp+Der/lágaš+v2+A+Attr	eŋgalaslágáš	ˈeŋŋ.kɑː.lɑs»lˌɑː.gɑːʃ
eŋgelas+A+AttrCmp+Der/nierat+A+Attr	eŋgalasnierat	ˈeŋŋ.kɑː.lɑs»nˌie.rɑh
eretorru+A+Attr	iretorru	ˈiː.reh#ˌor.ru
eretorru+A+AttrCmp+Der/fárddat+A+Sg+Loc	iretorrufárddagis	ˈiː.reh#ˌor.ru»fˌɑːrt.tɑ.gis
eretorru+A+AttrCmp+Der/gilggat+A+Pl+Nom	iretorrugilggagat	ˈiː.reh#ˌor.ru»gˌilk.kɑ.gɑh
eretorru+A+AttrCmp+Der/mállet+A+Attr	iretorrumállet	ˈiː.reh#ˌor.ru»mˌɑːl.leh
eretorru+A+Ess	iretorrun	ˈiː.reh#ˌor.run
eretorru+A+Pl+Com	iretorruiguin	ˈiː.reh#ˌor.ruj.gujn
eretorru+A+Pl+Gen	iretorruid	ˈiː.reh#ˌor.rujh
eretorru+A+Pl+Ill	iretorruide	ˈiː.reh#ˌor.ruj.de
eretorru+A+Pl+Loc	iretorruin	ˈiː.reh#ˌor.rujn
eretorru+A+Pl+Nom	iretorrut	ˈiː.reh#ˌor.ruh
eretorru+A+Sg+Acc	iretorru	ˈiː.reh#ˌor.ru
eretorru+A+Sg+Gen	iretorru	ˈiː.reh#ˌor.ru
eretorru+A+Sg+Nom	iretorru	ˈiː.reh#ˌor.ru
eretorru+A+Sg+Com	iretorruin	ˈiː.reh#ˌor.rujn
eretorru+A+Sg+Ill	iretorrui	ˈiː.reh#ˌor.ruj
eretorru+A+Sg+Loc	iretorrus	ˈiː.reh#ˌor.rus
eretorru+A+Der/viđá+Adv	iretorruviđá	ˈiː.reh#ˌor.ru»vˌi.ðɑː
eretorru+A+Der/vuohta+N+Sg+Ill	iretorruvuhtii	ˈiː.reh#ˌor.ru»vˌuh.tij
facultatum+N+Ess	facultatumin	fˈɑ.tsul.htˌɑ.tu.min
fatnat+V+IV+Pot+Prs+Sg3	fanaš	fˈɑ.nɑːʃ
feaddá+N+Der/viđá+Adv	feaddaviđá	fˈeædː.tɑ»vˌi.ðɑː
feasku+N+Der/huvva+V+IV+Pot+Prs+Sg3	feaskkohuvaš	fˈĕæs.ko»hˌu.vɑʃ
feilet+V+IV+Ind+Prt+Du2	feiliide	fˈejː.lij.de
festet+V+IV+Ind+Prt+Du1	festiime	fˈesː.tij.me
festniŋga+N+Sg+Ill	festniŋgii	fˈest.niŋ.gij
fidusmaleriija+N+Sg+Loc+PxSg3	fidusmaleriijastis	fˈiː.dus#mˌɑ.le.rˌij.jɑs.tis
flanealla+N+Sg+Ill	flanellii	flˈɑ.nel.lij
fleahkkaguolli+Sem/Ani+N+Pl+Loc+PxSg3	fleahkkaguliinis	flˈĕæhː.kɑ#kˌu.lij.nis
flegmáhtalaš+A+Attr	flegmáhtalaš	flˈeg.mɑːh.tˌɑ.lɑʃ
fleksibiliteahtta+N+Der/viđá+Adv	fleksibiliteahttaviđá	flˈekː.si.bˌi.li.tˌĕæhː.tɑ»vˌi.ðɑː
fluksa+N+Der/viđá+Adv	fluksaviđá	flˈukː.sɑː»vˌi.ðɑː
flygel+N+Der/viđá+Adv	flygelviđá	flˈy.gel»vˌi.ðɑː
flágga+N+Sg+Nom+PxPl1	flággamet	flˈɑːgː.kɑ.meh
foarbma+N+Sg+Ill	forbmii	fˈorə.pmij
fokusáhtor+N+Sg+Gen+PxDu3	fokusáhtoreaskka	fˈo.ku.sˌɑːh.to.rˌeæs.kɑ
fosfor+N+Sg+Loc+PxDu3	fosforisttiska	fˈos.fo.rˌis.tis.kɑ
frotteret+V+TV+Ind+Prt+Sg3	frotterii	frˈot.te.rij
frukta+N+Sg+Loc+PxDu2	fruvttasteatte	frˈuβɸː.tɑːs.tˌĕæt.te
fungeret+V+IV+Der/PassL+V+IV+Ind+Prt+Sg3	fungerejuvvui	fˈuŋŋ.ke.re»j»ˌuv.vuj
fuotnut+V+IV+PrfPrc	futnon	fˈut.non
fylka+Sem/Org+Sem/Plc+N+Pl+Com	fylkkaiguin	fˈyll̥.kɑj.gujn
fysalaš+A+AttrCmp+Der/jagaš+A+Ess	fysalašjagažin	fˈy.sɑ.lɑʃ»jˌɑ.gɑ.dʃin
fysikála+A+Pl+Nom	fysikálat	fˈy.si.kˌɑː.lɑh
fádarrforra+N+Sg+Ill	fádarrforrii	fˈɑː.dɑrː.fˌor.rij
fággi+N+Sg+Gen+Allegro	fákke	fˈɑːk.ke
fáksa+N+Der/laš+A+Der/vuohta+N+Sg+Ill	fávssalašvuhtii	fˈɑːβs.sɑ»lɑʃ»vˌuh.tij
fámolaš+A+Der/at+Adv	fámolaččat	fˈɑː.mo.lˌɑt.tʃɑh
fáđahit+V+TV+VAbess	fáđathaga	fˈɑː.ðɑh#hˌɑ.gɑ
føydalisma+N+Sg+Ill	føydalismii	fˈøy.dɑ.lˌisː.mij
føydalisma+N+Sg+Acc+PxDu3	føydalismmaska	fˈøy.dɑ.lˌis.mɑs.kɑ
føydálariekti+N+Sg+Com+PxPl2	føydálarivttiineattet	fˈøy.dɑː.lɑ#rˌiβɸ.tij.nˌĕæt.teh
falástallanruhta+Sem/Money+N+Pl+Acc+PxDu2	valástallanruđaideatte	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑj.dˌĕæt.te
falástallanruhta+Sem/Money+N+Pl+Com+PxDu1	valástallanruđaideameguin	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑj.dˌĕæ.me.gujn
falástallanruhta+Sem/Money+N+Pl+Nom	valástallanruđat	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑh
falástallanruhta+Sem/Money+N+Sg+Acc+PxDu2	valástallanruđade	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑ.de
falástallanruhta+Sem/Money+N+Sg+Com+PxSg3	valástallanruđainis	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑj.nis
falástallanruhta+Sem/Money+N+Sg+Loc	valástallanruđas	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑs
falástallanruhta+Sem/Money+N+Sg+Loc+PxSg3	valástallanruđastis	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑs.tis
falástallanruhta+Sem/Money+N+Der/huhtti+V+TV+Sup	valástallanruđahuhtážit	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑ»hˌuhː.tɑː.dʃih
falástallanruhta+Sem/Money+N+Der/huvva+V+IV+Ger+PxDu3	valástallanruđahuvadettiineaskka	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑ»hˌu.vɑ.dˌet.tij.nˌeæs.kɑ
falástallanruhta+Sem/Money+N+Der/huvva+V+IV+ConNegII	valástallanruđahuvvo	vˈɑ.lɑːs.tˌɑl.lɑn#rˌu.ðɑ»hˌuv.vo
falástallanruhta+Sem/Money+N+Sg+Nom+PxDu2	valástallanruhtade	vˈɑ.lɑːs.tˌɑl.lɑn#rˌuh.tɑ.de
falástallanruhta+Sem/Money+N+Der/viđá+Adv	valástallanruhtaviđá	vˈɑ.lɑːs.tˌɑl.lɑn#rˌuh.tɑ»vˌi.ðɑː
falástallanruhta+Sem/Money+N+Sg+Ill	valástallanruhtii	vˈɑ.lɑːs.tˌɑl.lɑn#rˌuh.tij
faláštallanruhta+Sem/Money+N+Pl+Acc+PxPl3	valáštallanruđaideaset	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑj.dˌĕæ.seh
faláštallanruhta+Sem/Money+N+Pl+Com	valáštallanruđaiguin	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑj.gujn
faláštallanruhta+Sem/Money+N+Pl+Gen+PxDu2	valáštallanruđaideatte	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑj.dˌĕæt.te
faláštallanruhta+Sem/Money+N+Pl+Nom	valáštallanruđat	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑh
faláštallanruhta+Sem/Money+N+Sg+Gen+PxPl3	valáštallanruđaset	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑ.seh
faláštallanruhta+Sem/Money+N+Sg+Gen+PxSg2	valáštallanruđat	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑh
faláštallanruhta+Sem/Money+N+Sg+Com+PxDu2	valáštallanruđaineatte	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑj.nˌĕæt.te
faláštallanruhta+Sem/Money+N+Sg+Loc	valáštallanruđas	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑs
faláštallanruhta+Sem/Money+N+Der/huvva+V+IV+Cond+Prs+Du2	valáštallanruđahuvaleidde	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌu.ðɑ»hˌu.vɑ.lˌejt.te
faláštallanruhta+Sem/Money+N+Ess+PxSg3	valáštallanruhtanis	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌuh.tɑ.nis
faláštallanruhta+Sem/Money+N+Der/viđá+Adv	valáštallanruhtaviđá	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌuh.tɑ»vˌi.ðɑː
faláštallanruhta+Sem/Money+N+Sg+Ill	valáštallanruhtii	vˈɑ.lɑːʃ.tˌɑl.lɑn#rˌuh.tij
gii+Pron+Interr+Sg+Ill+Foc	geasagii	kˈeæ.sɑ.gij
gii+Pron+Interr+Sg+Nom	gii	kˈij
gii+Pron+Interr+Ess	geanin	kˈeæ.niːn
gii+Pron+Interr+Pl+Acc	geaid	kˈeæjh
gii+Pron+Interr+Pl+Gen	geaid	kˈeæjh
gii+Pron+Interr+Sg+Gen	gean	kˈeæn
gii+Pron+Interr+Sg+Loc	geas	kˈeæs
gii+Pron+Rel+Sg+Nom	gii	kˈij
gii+Pron+Rel+Pl+Nom	geat	kˈeæh
gii+Pron+Rel+Sg+Com	geainna	kˈeæjn.nɑ
goabbat+Pron+Recipr+Du	goabbat	kˈoɑbː.pɑh
goabbat+Pron+Recipr+Pl	guhtet	kˈuːh.teh
guhte+Pron+Rel+Ess	guhten	kˈuːh.ten
guhtemuš+Pron+Interr+Pl+Acc	guđemuččaid	kˈu.ðe.mˌut.tʃɑjh
guhtemuš+Pron+Rel	guhtemuš	kˈuh.te.muʃ
guoibmi+Pron+Recipr+Pl+Com+PxDu2	guimmiideadeguin	kˈujm.mij.dˌĕæ.de.gujn
guoibmi+Pron+Recipr+Pl+Com+PxPl1	guimmiideametguin	kˈujm.mij.dˌĕæ.met.gujn
guoibmi+Pron+Recipr+Pl+Ill+PxPl3	guimmiidasaset	kˈujm.mij.dˌɑ.sɑ.seh
guoibmi+Pron+Recipr+Sg+Gen+PxDu3	guoimmiska	kˈŭŏjmː.mis.kɑ
gaelikgiella+A+Attr	gaelikgiel	kˈɑe.lik#kiel
gappas+A+Ess	gappasin	kˈɑpː.pɑː.sin
gappas+A+Der/vuohta+N+Ess+PxDu3	gappasvuohtaneaskka	kˈɑpː.pɑːs»vˌuoh.tɑ.nˌeæs.kɑ
geahpas+A+Attr	gehppes	kˈehː.pes
geres+Sem/Veh+N+Ess	geresin	kˈe.re.sin
giige+Pron+Indef+Pl+Ill	geaiddage	kˈeæjt.tɑ.ge
giige+Pron+Indef+Sg+Loc	geasge	kˈĕæs.ge
giinai+Pron+Indef+Gen	geaidai	kˈĕæjː.tɑj
gikcut+V+IV+Der/st+V+Imprt+Sg3	givccustus	kˈiβɸ.tsu»stus
gizzut+V+IV+VAbess+A+Attr	giccokeahtes	kˈit.tso.kˌĕæh.tes
glorifieret+V+TV+Ind+Prt+Du1	glorifieriime	glˈo.ri.fˌi.e.rˌij.me
gluten+N+Der/viđá+Adv	glutenviđá	glˈuː.ten»vˌi.ðɑː
glyptotehka+N+Sg+Ill	glyptotehkii	glˈyp.to.tˌeh.kij
gneaisa+N+Sg+Ill	gneisii	gnˈejː.sij
gomihit+V+TV+Der/alla+V+Imprt+Pl3	gomáhalloset	kˈoː.mɑːh»ˌɑl.lo.seh
gradueret+V+IV+Ind+Prt+Du3	gradueriiga	grˈɑ.du.ˌe.rij.gɑ
grammofovdna+N+Ess	grammofovdnan	grˈɑm.mo.fˌoβː.tnɑn
gullostit+V+IV+Der/meahttun+A+Superl+Ess	gullosmeahttuseamosin	kˈul.los»mˌĕæhː.tu.sˌĕæ.mo.sin
guojihit+V+IV+Der/alla+V+ConNegII	guojáhallo	kˈuo.jɑːh»ˌɑl.lo
guoppar+Sem/Plant+N+Ess	guopparin	kˈuop.pɑ.rin
gymnása+Sem/Edu+N+Der/huvva+V+IV+Sup	gymnásahuvažit	kˈym.nɑː.sɑ»hˌu.vɑ.dʃih
gávas+N+Der/geahtes+A+Attr	gávasgeahtes	kˈɑː.vɑs»gˌĕæh.tes
gáđaš+A+Comp+Der/Dimin+A+Attr	gáhtašeppoš	kˈɑːh.tɑ.ʃˌep.po»ʃ
gäbbäläbivdu+N+Sg+Loc+PxPl1	gäbbäläbivddusteamet	kˈæbː.pæ.læ#pˌiβtː.tus.tˌĕæ.meh
gælalaš+A+Sg+Nom	gælalaš	kˈæ.lɑ.lɑʃ
gælalaš+A+Der/vuohta+N+Sg+Ill	gælalašvuhtii	kˈæ.lɑ.lɑʃ»vˌuh.tij
habitáhtta+Sem/Plc+N+Sg+Loc+PxSg3	habitáhtastis	hˈɑ.bi.tˌɑːh.tɑs.tis
haksu+N+Der/Dimin+N+Sg+Ill+PxPl3	havssožasaset	hˈɑβs.so»dʃˌɑ.sɑ.seh
hapmat+V+TV+Der/PassS+V+IV+Ind+Prt+Pl2	habmuidet	hˈɑb.mu»ˌi.deh
haugianisma+N+Sg+Ill	haugianismii	hˈɑu.gi.ˌɑ.nis.mij
heahtit+V+TV+Imprt+Sg3	hehtos	hˈeːh.tos
heage+N+Der/viđá+Adv	heageviđá	hˈĕæ.ge»vˌi.ðɑː
heašš+Interj	heašš	hˈeæʃː
hede+Adv	hede	hˈeː.de
heivet+V+IV+Ind+Prt+Du2	heiviide	hˈejː.vij.de
hersko+N+Der/viđá+Adv	herskoviđá	hˈerə.sko»vˌi.ðɑː
heđen+N+Der/geahtes+A+Attr	heđenkeahtes	hˈeː.ðen»kˌĕæh.tes
heŋget+V+TV+Ind+Prt+Pl2	heŋgiidet	hˈeŋŋ.kij.deh
hiegis+A+Sg+Nom	hiegis	hˈie.giːs
himmát+V+IV+Der/PassL+V+IV+Ind+Prt+Sg3	himmájuvvui	hˈimː.mɑː»j»ˌuv.vuj
hm+Interj	hm	hm
hmm+Interj	hmm	hmː
hoassat+V+TV+Cond+Prs+Du3	hoasašeigga	hˈoɑ.sɑ.ʃˌejk.kɑ
hoteallalatnja+Sem/Plc+N+Sg+Ill	hoteallalatnjii	hˈo.teæl.lɑ#lˌɑt.ɲij
hoŋket+V+TV+Der/PassL+V+IV+Actio+Loc	hoŋkejuvvomis	hˈoŋŋ.ŋ̊ke»jˌuv.vo.mis
huvlla+A+Pl+Nom	huvlagat	hˈuβː.lɑː.gɑh
hyasinta+N+Sg+Com+PxDu2	hyasintaineatte	hˈy.ɑ.sˌinː.n̥tɑj.nˌĕæt.te
hygiena+N+Sg+Ill	hygienii	hˈy.gi.ˌe.nij
hygienagáibádus+N+Sg+Com+PxDu1	hygienagáibádusaineame	hˈy.gi.ˌe.nɑ#kˌɑːjː.pɑː.dˌu.sɑj.nˌĕæ.me
hyhttá+Sem/Build+N+Sg+Com+PxDu3	hyhtáineaskka	hˈyhː.tɑːj.nˌeæs.kɑ
hyhttá+Sem/Build+N+Sg+Acc+PxPl1	hyhttámet	hˈyhː.tɑː.meh
hysteralaš+A+Sg+Loc	hysteralaččas	hˈysː.te.rˌɑ.lɑt.tʃɑs
hábbut+V+IV+Cond+Prs+Du1	háppoleimme	hˈɑːp.po.lˌejm.me
háhku+N+Der/huhtti+V+TV+VAbess+A+Attr	háguhuhtikeahtes	hˈɑː.gu»hˌuh.ti.kˌĕæh.tes
hávdnalávdegoddi+Sem/Org+N+Der/Dimin+N+Sg+Acc+PxSg1	hávdnalávdegottážan	hˈɑːβː.tnɑ#lˌɑːβː.te#kˌotː.tɑː»dʃɑn
háđirdit+V+TV+Der/adda+V+VGen	háđárdatta	hˈɑː.ðɑːrd»ˌɑt.tɑ
håløygalaš+Sem/Hum+N+Sg+Com+PxDu1	håløygalaččaineame	hˈoːl.øy.gˌɑ.lɑt.tʃˌɑj.nĕæ.me
håløygalaš+Sem/Hum+N+Ess	håløygalažžan	hˈoːl.øy.gˌɑ.lɑdː.tʃɑn
håløygalaš+Sem/Hum+N+Sg+Ill	håløygalažžii	hˈoːl.øy.gˌɑ.lɑdː.tʃij
ieš+Pron+Refl+Acc+PxDu1	iehčame	ˈieh.tʃɑ.me
ieš+Pron+Refl+Com+PxDu1	iežaineame	ˈie.dʃɑj.nˌĕæ.me
ieš+Pron+Refl+ComPxCPlCom+PxDu1	iežaideameguin	ˈie.dʃɑj.dˌĕæ.me.gujn
ieš+Pron+Refl+Du+Nom	ieža	ˈie.dʃɑ
ieš+Pron+Refl+Gen+PxDu3+Attr	ald	ˈɑld
ieš+Pron+Refl+Gen+PxPl3+Attr	ald	ˈɑld
ieš+Pron+Refl+Gen+PxPl1	iehčamet	ˈieh.tʃɑ.meh
ieš+Pron+Refl+Gen+PxSg1	iehčan	ˈieh.tʃɑn
ieš+Pron+Refl+Gen+PxPl1	iežamet	ˈie.dʃɑ.meh
ieš+Pron+Refl+Ill+PxDu3	allaseaskka	ˈɑlː.lɑː.sˌeæs.kɑ
ieš+Pron+Refl+Ill+PxSg2	allasat	ˈɑlː.lɑː.sɑh
ieš+Pron+Refl+Loc+PxSg3	alddes	ˈɑlt.tes
ieš+Pron+Refl+Loc+PxPl2	alddádet	ˈɑltː.tɑː.ðeh
ieš+Pron+Refl+Pl+Nom	ieža	ˈie.dʃɑ
ieš+Pron+Refl+Sg+Nom	ieš	ˈieʃ
ii+V+IV+Neg+Imprt+Du2	alli	ˈɑlː.liː
ii+V+IV+Neg+Imprt+Pl1	allot	ˈɑl.loh
ii+V+IV+Neg+Imprt+Pl3	alloset	ˈɑl.lo.seh
ii+V+IV+Neg+Imprt+Sg2	ale	ˈɑ.le
ii+V+IV+Neg+Imprt+Sg3	allos	ˈɑl.los
ii+V+IV+Neg+Ind+Du1	ean	ˈeæn
ii+V+IV+Neg+Ind+Du2	eahppi	ˈĕæhː.piː
ii+V+IV+Neg+Ind+Pl1	eat	ˈeæh
ii+V+IV+Neg+Ind+Pl2	ehpet	ˈeːh.peh
ii+V+IV+Neg+Ind+Sg1	in	ˈin
ii+V+IV+Neg+Ind+Sg2	it	ˈih
ii+V+IV+Neg+Sup+Pl1	amamet	ˈɑ.mɑː.meh
ii+V+IV+Neg+Sup+Pl3	amaset	ˈɑ.mɑː.seh
ii+V+IV+Neg+Sup+Sg1	aman	ˈɑ.mɑːn
ii+V+IV+Neg+Sup+Sg2	amat	ˈɑ.mɑːh
idja+Sem/Time+N+Der/huvva+V+IV+Imprt+Sg1	ijahuvvon	ˈi.jɑː»hˌuv.von
idiomáhtalaš+A+Sg+Ill	idiomáhtalažžii	ˈi.dio.mˌɑːh.tɑ.lˌɑdː.tʃij
idjakino+Sem/Org+Sem/Build+Sem/Event+N+Der/heapmi+A+Attr	idjakinohis	ˈicː.cɑː#khˌi.no»his
idéa+N+Sg+Ill+PxSg3	idéasas	ˈi.deː.ˌɑ.sɑs
idéa+N+Sg+Ill	idéii	ˈiː.deːjː
iere+Adv	iere	ˈĭe.re
iešráhkaduvvon+A+Attr	iešráhkaduvvon	ˈieʃ#rˌɑːh.kɑ.dˌuv.von
ignoreret+V+TV+Ind+Prt+Sg3	ignorerii	ˈig.no.rˌe.rij
ihpil+Sem/Hum+N+Der/viđá+Adv	ihpilviđá	ˈihː.pil»vˌi.ðɑː
ihtáš+A+Sg+Ill	ihtážii	ˈihː.tɑː.dʃij
iihii+Interj	iihii	ˈij.hij
iilet+V+TV+VAbess	iilekeahttá	ˈijː.le.kˌĕæhː.tɑː
iivá+N+Der/viđá+Adv	iivaviđá	ˈijː.vɑː»vˌi.ðɑː
iktit+V+TV+Pot+Prs+Pl2	ivttežehpet	ˈiβɸ.te.dʃˌeh.peh
illu+N+Sg+Acc+PxPl2	ilodet	ˈi.lo.ðeh
illu+N+Der/laš+A+Comp+Sg+Nom	ilolat	ˈi.lo»lɑh
illutableahtta+N+Sg+Ill	illutablehttii	ˈil.lu#thˌɑb.lehː.tij
imaš+N+Sg+Nom	imaš	ˈi.mɑːʃ
imaš+N+Der/heapmi+A+Pl+Com	imašhemiiguin	ˈi.mɑːʃ»hˌe.mij.gujn
importeren+Sem/Act+N+Sg+Gen	importeren	ˈimː.m̥por.htˌe.ren
imaš+A+Superl+Ess	ipmaheamosin	ˈipː.mɑː.hˌĕæ.mo.sin
imaš+N+Der/Dimin+N+Sg+Ill+PxSg2	ipmahažžasat	ˈipː.mɑːh»ˌɑdː.tʃɑ.sɑh
imaš+N+Sg+Ill+PxSg3	ipmašasas	ˈipː.mɑː.ʃˌɑ.sɑs
