Konsta+N+Prop+Sem/Mal+Ess	Konstan	khˈonː.stɑ>n
Korkina+N+Prop+Sem/Sur+Sg+Acc	Korkina	khˈor.çi.nɑ>
Krepsen+N+Prop+Sem/Sur+Attr	Krepsens	krˈep.sen>s
Krystad+N+Prop+Sem/Sur+Sg+Loc	Krystadas	krˈyː#stɑː.d>ɑs
Kubru+N+Prop+Pl+Nom	Kubrut	khˈub.ru>t
Kurland+N+Prop+Sg+Nom	Kurland	kʉːr#lɑnː>
Kvellandstrand+N+Prop+Der/laš+A+Sg+Ill	Kvellandstrandalažžii	kvˈelː.lɑːnː#strɑn.n>ɑ.lɑž.žij
Kvina+N+Prop+Sg+Com	Kvinain	kvˈiː.nɑ>in
Kvæøya+N+Prop+Der/laš+A+Ess+PxDu2	Kvæøyalažžaneatte	kvˈæː#øyɑ>.lɑž.žɑ.nĕɑt.te
Kyperelva+N+Prop+Ess	Kyperelvan	çˈyː.per#ˌelː.vɑ>n
Kyrínia+N+Prop+Der/laš+A+Sg+Ill	Kyrínialažžii	çˈyː.riː.nˌi.ɑ>.lɑž.žij
Königsberg+N+Prop+Sem/Sur+Sg+Com	Königsbergain	çˈøː.nigs#bær.g>ɑjn
Køhn+N+Prop+Sem/Sur+Ess	Køhnan	khˈøː.n>ɑn
Labergdalen+N+Prop+Der/laš+A+Pl+Acc	Labergdalenlaččaid	lˈɑː.berg#dˌɑː.len>.lɑč.čɑjh
Laksjøen+N+Prop+Sg+Nom	Laksjøen	lˈɑːk#ʃˌøː.en>
Larseng+N+Prop+Sem/Sur+Sg+Nom	Larseng	lˈɑːʃ#eŋː>
Lassemoen+N+Prop+Der/laš+A+Pl+Gen	Lassemoenlaččaid	lˈɑs.se#mˌuː.en>.lɑč.čɑjh
Ljungby+N+Prop+Der/laš+A+Sg+Gen+PxSg3	Ljungbylaččas	ljˈuŋː#byː>.lɑč.čɑs
Ljungby+N+Prop+Der/laš+A+Sg+Ill	Ljungbylažžii	ljˈuŋː#byː>.lɑž.žij
Lochman+N+Prop+Sem/Sur+Pl+Loc	Lochmanain	lˈuːk#mɑː.n>ɑjn
Loeng+N+Prop+Sem/Sur+Sg+Com	Loengain	lˈuː#en.g>ɑjn
Lowestoft+N+Prop+Sem/Sur+Sg+Ill	Lowestoftii	lˈuː.ves.tof.t>ij
Luanda+N+Prop+Sg+Loc	Luandas	lʉː.ɑn.dɑ>s
Lucia+N+Prop+Sem/Fem+Der/Dimin+Pl+Nom	Luciažat	lʉː.si.ɑ>.žɑt
Luftjokdalen+N+Prop+Sg+Nom	Luftjokdalen	lˈuft.jok#dˌɑː.len>
Luna+N+Prop+Der/laš+A+Sg+Nom	Lunalaš	lʉː.nɑ>.lɑʃ
Lundhamn+N+Prop+Sg+Ill	Lundhamnii	lˈunː#hɑm.n>ij
Lutnæs+N+Prop+Sem/Sur+Sg+Ill	Lutnæsii	lˈut.næː.s>ij
Lybekkergata+N+Prop+Ess	Lybekkergatenin	lˈyː.bek.ker#gˌɑː.te.nin
Lyrskog+N+Prop+Der/laš+A+Ess+PxSg1	Lyrskogalažžanan	lˈyːr#skuː.g>ɑ.lɑž.žɑ.nɑn
Länsman+N+Prop+Sem/Sur+Sg+Loc	Länsmanis	lˈæns#mɑː.n>is
Länsmann+N+Prop+Sem/Sur+Attr	Länsmanns	lˈæns#mɑnː>s
Låsby+N+Prop+Ess	Låsbyn	lˈoːs.by>n
