Aachen+N+Prop+Ess	Aachenin	ˈɑːts.he.n>in
Parantainen+N+Prop+Sem/Sur+Ess	Parantaisin	pˈɑ.rɑnː.tɑj>.sin
Parjanen+N+Prop+Sem/Sur+Sg+Acc	Parjanen	pˈɑrː.jɑ>.nen
Parkkonen+N+Prop+Sem/Sur+Sg+Acc	Parkkonena	pˈɑrk.ko>.ne.nɑ
Parkkonen+N+Prop+Sem/Sur+Sg+Loc	Parkkosis	pˈɑrk.ko>.sis
Parttimaa+N+Prop+Sem/Sur+Pl+Nom	Parttimaat	pˈɑrt.ti#mɑː>h
Pasanen+N+Prop+Sem/Sur+Pl+Loc	Pasaneniin	pˈɑ.sɑ>.ne.nijn
Pasanen+N+Prop+Sem/Sur+Ess	Pasasin	pˈɑ.sɑ>.sin
Passoja+N+Prop+Sg+Nom	Passoja	pˈɑsː#ˌo.jɑ>
Patrikainen+N+Prop+Sem/Sur+Sg+Gen+Allegro	Patrikainen	pˈɑt.ri.kɑj>.nen
Patsjoki+N+Prop+Ess	Patsjokin	pˈɑts#jˌo.ki>n
Paunonen+N+Prop+Sem/Sur+Ess	Paunosin	pˈɑu.no>.sin
Pehkonen+N+Prop+Sem/Sur+Sg+Ill	Pehkonenii	pˈeh.ko>.ne.nij
Pehkonen+N+Prop+Sem/Sur+Ess	Pehkosin	pˈeh.ko>.sin
Pehkonen+N+Prop+Sem/Sur+Sg+Com	Pehkosiin	pˈeh.ko>.sijn
Peiponen+N+Prop+Sem/Sur+Ess	Peiponenin	pˈejː.po>.ne.nin
Peiponen+N+Prop+Sem/Sur+Sg+Acc	Peiponena	pˈejː.po>.ne.nɑ
Peiponen+N+Prop+Sem/Sur+Sg+Ill	Peiposii	pˈejː.po>.sij
Peiponen+N+Prop+Sem/Sur+Sg+Loc	Peiposis	pˈejː.po>.sis
Pekonen+N+Prop+Sem/Sur+Sg+Acc	Pekosa	pˈe.ko>.sɑ
Pekonen+N+Prop+Sem/Sur+Sg+Ill	Pekosii	pˈe.ko>.sij
Pekurinen+N+Prop+Sem/Sur+Sg+Ill	Pekurisii	pˈe.ku.ri>.sij
Peldojärvi+N+Prop+Ess	Peldojärvn	pˈelː.to#jærv>n
Pelkonen+N+Prop+Sem/Sur+Ess	Pelkonenin	pˈelː.ko>.ne.nin
Pelkonen+N+Prop+Sem/Sur+Pl+Nom	Pelkonenat	pˈelː.ko>.ne.nɑh
Pelkonen+N+Prop+Sem/Sur+Sg+Gen+Allegro	Pelkonen	pˈelː.ko>.nen
Pellinen+N+Prop+Sem/Sur+Ess	Pellisin	pˈel.li>.sin
Peltola+N+Prop+Sem/Sur+Sg+Loc	Peltolas	pˈelː.to.lɑ>s
Peltonen+N+Prop+Sem/Sur+Pl+Acc	Peltoneniid	pˈelː.to>.ne.nijh
Peltonen+N+Prop+Sem/Sur+Sg+Acc	Peltonena	pˈelː.to>.ne.nɑ
Pennala+N+Prop+Sem/Sur+Sg+Ill	Pennalai	pˈen.nɑ.lɑ>i
Pennanen+N+Prop+Sem/Sur+Sg+Acc	Pennanena	pˈen.nɑ>.ne.nɑ
Pennanen+N+Prop+Sem/Sur+Sg+Acc	Pennasa	pˈen.nɑ>.sɑ
Penttilä+N+Prop+Sem/Sur+Ess	Penttilän	pˈent.ti.læ>n
Pernaa+N+Prop+Sg+Ill	Pernaai	pˈer.nɑː>i
Peränen+N+Prop+Sem/Sur+Pl+Nom	Peränenat	pˈe.ræ>.ne.nɑh
Pesola+N+Prop+Sem/Sur+Pl+Gen	Pesolaid	pˈe.so.lɑ>id
Pessala+N+Prop+Sem/Sur+Sg+Com	Pessalain	pˈes.sɑ.lɑ>in
Pettinen+N+Prop+Sem/Sur+Pl+Nom	Pettinenat	pˈet.ti>.ne.nɑh
Pettinen+N+Prop+Sem/Sur+Sg+Com	Pettisiin	pˈet.ti>.sijn
Petula+N+Prop+Sem/Fem+Pl+Nom	Petulat	pˈe.tu.lɑ>h
Petula+N+Prop+Sem/Fem+Der/Dimin+Sg+Nom	Petulaš	pˈe.tu.lɑ>ʃ
Peuhkurinen+N+Prop+Sem/Sur+Sg+Nom	Peuhkurinen	pˈeuh.ku.ri>.nen
Peuhkurinen+N+Prop+Sem/Sur+Pl+Acc	Peuhkurisiid	pˈeuh.ku.ri>.sijh
Peuranen+N+Prop+Sem/Sur+Pl+Nom	Peurasat	pˈeu.rɑ>.sɑh
Piaskainen+N+Prop+Sem/Sur+Ess	Piaskainenin	pˈi.ɑs.kɑj>.ne.nin
Piaskainen+N+Prop+Sem/Sur+Pl+Nom	Piaskainenat	pˈi.ɑs.kɑj>.ne.nɑh
Piaskainen+N+Prop+Sem/Sur+Sg+Loc	Piaskainenis	pˈi.ɑs.kɑj>.ne.nis
Piaskainen+N+Prop+Sem/Sur+Ess	Piaskaisin	pˈi.ɑs.kɑj>.sin
Piaskainen+N+Prop+Sem/Sur+Sg+Acc	Piaskaisa	pˈi.ɑs.kɑj>.sɑ
Piaskainen+N+Prop+Sem/Sur+Sg+Com	Piaskaisiin	pˈi.ɑs.kɑj>.sijn
Pihlainen+N+Prop+Sem/Sur+Ess	Pihlainenin	pˈih.lɑj>.ne.nin
Pihlainen+N+Prop+Sem/Sur+Ess	Pihlaisin	pˈih.lɑj>.sin
Piittisjärvi+N+Prop+Ess	Piittisjärvn	pˈijt.tis#jærv>n
Pikkuaho+N+Prop+Sem/Sur+Sg+Ill	Pikkuahoi	pˈik.ku#ˌɑ.ho>i
Pikkumusta+N+Prop+Pl+Acc	Pikkumustaid	pˈik.ku#mˌusː.tɑ>id
Piltonen+N+Prop+Sem/Sur+Ess	Piltonenin	pˈilː.to>.ne.nin
Pinola+N+Prop+Sem/Sur+Pl+Com	Pinolaiguin	pˈi.no.lɑ>i.gujn
Pinomäki+N+Prop+Sg+Ill	Pinomäkj	pˈi.no#mæk>j
Pipinen+N+Prop+Sem/Sur+Sg+Nom	Pipinen	pˈi.pi>.nen
Pipinen+N+Prop+Sem/Sur+Sg+Loc	Pipinenis	pˈi.pi>.ne.nis
Pippola+N+Prop+Sem/Sur+Sg+Gen	Pippola	pˈip.po.lɑ>
Pirhonen+N+Prop+Sem/Sur+Sg+Acc	Pirhonena	pˈir.ho>.ne.nɑ
Pirilä+N+Prop+Sem/Sur+Sg+Ill	Piriläi	pˈi.ri.læ>i
Pirinen+N+Prop+Sem/Sur+Sg+Gen+Allegro	Pirinen	pˈi.ri>.nen
Pirttikoski+N+Prop+Sg+Loc	Pirttikoskis	pˈirt.ti#kˌosː.ki>s
Piskonen+N+Prop+Sem/Sur+Pl+Nom	Piskosat	pˈisː.ko>.sɑh
Pitkänen+N+Prop+Sem/Sur+Pl+Nom	Pitkäsat	pˈitː.kæ>.sɑh
Pohjoisaho+N+Prop+Sg+Gen	Pohjoisaho	pˈoh.jojs#ˌɑ.ho>
Pohjonen+N+Prop+Sem/Sur+Pl+Gen	Pohjoneniid	pˈoh.jo>.ne.nijh
Poikajärvi+N+Prop+Sem/Sur+Ess	Poikajärvn	pˈojː.kɑ#jærv>n
Poikajärvi+N+Prop+Sem/Sur+Pl+Com	Poikajärvjguin	pˈojː.kɑ#jærv>jgujn
Poikajärvi+N+Prop+Sem/Sur+Pl+Nom	Poikajärvt	pˈojː.kɑ#jærv>h
Poikela+N+Prop+Sem/Sur+Sg+Ill	Poikelai	pˈojː.ke.lɑ>i
Poikolainen+N+Prop+Sem/Sur+Pl+Nom	Poikolaisat	pˈojː.ko.lɑj>.sɑh
Poikulainen+N+Prop+Sem/Sur+Sg+Acc	Poikulainena	pˈojː.ku.lɑj>.ne.nɑ
Pojanrinne+N+Prop+Sem/Sur+Ess	Pojanrinnen	pˈo.jɑn#rˌin.ne>n
Pojanrinne+N+Prop+Sem/Sur+Sg+Acc	Pojanrinne	pˈo.jɑn#rˌin.ne>
Pojanrinne+N+Prop+Sem/Sur+Sg+Com	Pojanrinniin	pˈo.jɑn#rˌin.ni>in
Pokela+N+Prop+Sem/Sur+Pl+Com	Pokelaiguin	pˈo.ke.lɑ>i.gujn
Pokela+N+Prop+Sem/Sur+Sg+Nom	Pokela	pˈo.ke.lɑ>
Polojärvi+N+Prop+Sem/Sur+Sg+Loc	Polojärvs	pˈo.lo#jærv>s
Polvinen+N+Prop+Sem/Sur+Sg+Acc	Polvisa	pˈolː.vi>.sɑ
Ponkala+N+Prop+Sem/Sur+Pl+Loc	Ponkalain	pˈoŋŋ.kɑ.lɑ>in
Ponkala+N+Prop+Sem/Sur+Pl+Nom	Ponkalat	pˈoŋŋ.kɑ.lɑ>h
Ponkala+N+Prop+Sem/Sur+Sg+Gen	Ponkala	pˈoŋŋ.kɑ.lɑ>
Ponkala+N+Prop+Sem/Sur+Sg+Loc	Ponkalas	pˈoŋŋ.kɑ.lɑ>s
Poranen+N+Prop+Sem/Sur+Ess	Porasin	pˈo.rɑ>.sin
Porrassalmi+N+Prop+Sg+Nom	Porrassalmi	pˈor.rɑs#sˌɑl.mi>
Porrassalmi+N+Prop+Sg+Ill	Porrassalmii	pˈor.rɑs#sˌɑl.mi>i
Postila+N+Prop+Sem/Sur+Pl+Acc	Postilaid	pˈosː.ti.lɑ>id
Postila+N+Prop+Sem/Sur+Pl+Nom	Postilat	pˈosː.ti.lɑ>h
Potila+N+Prop+Sem/Sur+Pl+Nom	Potilat	pˈo.ti.lɑ>h
Potila+N+Prop+Sem/Sur+Sg+Acc	Potila	pˈo.ti.lɑ>
Potila+N+Prop+Sem/Sur+Sg+Gen	Potila	pˈo.ti.lɑ>
Potila+N+Prop+Sem/Sur+Sg+Com	Potilain	pˈo.ti.lɑ>in
Potila+N+Prop+Sem/Sur+Sg+Ill	Potilai	pˈo.ti.lɑ>i
Poukka+N+Prop+Sem/Sur+Pl+Nom	Poukkat	pˈouk.kɑ>h
Poukka+N+Prop+Sem/Sur+Sg+Loc	Poukkas	pˈouk.kɑ>s
Poutiainen+N+Prop+Sem/Sur+Pl+Ill	Poutiaineniidda	pˈou.ti.ɑj>.ne.nijt.tɑ
Poutiainen+N+Prop+Sem/Sur+Ess	Poutiaisin	pˈou.ti.ɑj>.sin
Prinkkilä+N+Prop+Sem/Sur+Pl+Com	Prinkkiläiguin	prˈiŋk.ki.læ>i.gujn
Prinkkilä+N+Prop+Sem/Sur+Sg+Ill	Prinkkiläi	prˈiŋk.ki.læ>i
Prinkkilä+N+Prop+Sem/Sur+Sg+Loc	Prinkkiläs	prˈiŋk.ki.læ>s
Prittinen+N+Prop+Sem/Sur+Pl+Nom	Prittinenat	prˈit.ti>.ne.nɑh
Prittinen+N+Prop+Sem/Sur+Pl+Gen	Prittineniid	prˈit.ti>.ne.nijh
Prittinen+N+Prop+Sem/Sur+Sg+Gen	Prittinena	prˈit.ti>.ne.nɑ
Prittinen+N+Prop+Sem/Sur+Sg+Com	Prittineniin	prˈit.ti>.ne.nijn
Prittinen+N+Prop+Sem/Sur+Sg+Loc	Prittinenis	prˈit.ti>.ne.nis
Prittinen+N+Prop+Sem/Sur+Pl+Nom	Prittisat	prˈit.ti>.sɑh
Prittinen+N+Prop+Sem/Sur+Pl+Loc	Prittisiin	prˈit.ti>.sijn
Prittinen+N+Prop+Sem/Sur+Sg+Gen	Prittisa	prˈit.ti>.sɑ
Prittinen+N+Prop+Sem/Sur+Sg+Com	Prittisiin	prˈit.ti>.sijn
Prittinen+N+Prop+Sem/Sur+Sg+Ill	Prittisii	prˈit.ti>.sij
Prusila+N+Prop+Sem/Sur+Pl+Ill	Prusilaide	prˈu.si.lɑ>i.de
Prusila+N+Prop+Sem/Sur+Pl+Loc	Prusilain	prˈu.si.lɑ>in
Prusila+N+Prop+Sem/Sur+Pl+Nom	Prusilat	prˈu.si.lɑ>h
Prusila+N+Prop+Sem/Sur+Sg+Gen	Prusila	prˈu.si.lɑ>
Prusila+N+Prop+Sem/Sur+Sg+Nom	Prusila	prˈu.si.lɑ>
Prusila+N+Prop+Sem/Sur+Sg+Com	Prusilain	prˈu.si.lɑ>in
Prusila+N+Prop+Sem/Sur+Sg+Ill	Prusilai	prˈu.si.lɑ>i
Prusila+N+Prop+Sem/Sur+Sg+Loc	Prusilas	prˈu.si.lɑ>s
Puhakka+N+Prop+Sem/Sur+Sg+Gen	Puhakka	pˈu.hɑk.kɑ>
Puikkonen+N+Prop+Sem/Sur+Sg+Acc	Puikkonena	pˈujk.ko>.ne.nɑ
Puittinen+N+Prop+Sem/Sur+Sg+Com	Puittineniin	pˈujt.ti>.ne.nijn
Pukarinen+N+Prop+Sem/Sur+Sg+Gen	Pukarinena	pˈu.kɑ.ri>.ne.nɑ
Pukarinen+N+Prop+Sem/Sur+Pl+Acc	Pukarisiid	pˈu.kɑ.ri>.sijh
Pukarinen+N+Prop+Sem/Sur+Sg+Ill	Pukarisii	pˈu.kɑ.ri>.sij
Pukkila+N+Prop+Sg+Gen	Pukkila	pˈuk.ki.lɑ>
Pukkila+N+Prop+Sg+Loc	Pukkilas	pˈuk.ki.lɑ>s
Pula+N+Prop+Sg+Loc	Pulas	pˈu.lɑ>s
Pulakka+N+Prop+Sem/Sur+Sg+Gen	Pulakka	pˈu.lɑk.kɑ>
Pulkkinen+N+Prop+Sem/Sur+Sg+Acc	Pulkkinena	pˈulk.ki>.ne.nɑ
Punkkinen+N+Prop+Sem/Sur+Sg+Com	Punkkisiin	pˈuŋk.ki>.sijn
Punnonen+N+Prop+Sem/Sur+Pl+Gen	Punnoneniid	pˈun.no>.ne.nijh
Punnonen+N+Prop+Sem/Sur+Ess	Punnosin	pˈun.no>.sin
Puolamäki+N+Prop+Sem/Sur+Sg+Gen	Puolamäk	pˈuo.lɑ#mæk>
Puolimatka+N+Prop+Sem/Sur+Ess	Puolimatkan	pˈuo.li#mˌɑtː.kɑ>n
Puolimatka+N+Prop+Sem/Sur+Sg+Com	Puolimatkain	pˈuo.li#mˌɑtː.kɑ>in
Puotiniemi+N+Prop+Ess	Puotiniemin	pˈuo.ti#nˌie.mi>n
Puotiniemi+N+Prop+Sg+Com	Puotiniemiin	pˈuo.ti#nˌie.mi>in
Purmonen+N+Prop+Sem/Sur+Ess	Purmonenin	pˈur.mo>.ne.nin
Puskala+N+Prop+Sem/Sur+Ess	Puskalan	pˈusː.kɑ.lɑ>n
Pussinen+N+Prop+Sem/Sur+Sg+Gen	Pussinena	pˈus.si>.ne.nɑ
Pussinen+N+Prop+Sem/Sur+Ess	Pussisin	pˈus.si>.sin
Pussinen+N+Prop+Sem/Sur+Pl+Com	Pussisiiguin	pˈus.si>.sij.gujn
Pussinen+N+Prop+Sem/Sur+Sg+Com	Pussisiin	pˈus.si>.sijn
Putaala+N+Prop+Sg+Loc	Putaalas	pˈu.tɑː.lɑ>s
Putkinen+N+Prop+Sem/Sur+Sg+Gen	Putkinena	pˈutː.ki>.ne.nɑ
Puttonen+N+Prop+Sem/Sur+Sg+Acc	Puttonen	pˈut.to>.nen
Puusaari+N+Prop+Sem/Sur+Sg+Ill	Puusaarii	pˈuː#sˌɑː.ri>i
Puutio+N+Prop+Sem/Sur+Pl+Com	Puutioiguin	pˈuː.tio>i.gujn
Pyhtilä+N+Prop+Sem/Sur+Pl+Ill	Pyhtiläide	pˈyh.ti.læ>i.de
Pyhtilä+N+Prop+Sem/Sur+Pl+Nom	Pyhtilät	pˈyh.ti.læ>h
Pyhätunturi+N+Prop+Ess	Pyhätunturin	pˈy.hæ.tˌunː.tu.ri>n
Pykälä+N+Prop+Sem/Sur+Pl+Nom	Pykälät	pˈy.kæ.læ>h
Pykälä+N+Prop+Sem/Sur+Sg+Nom	Pykälä	pˈy.kæ.læ>
Pykäläinen+N+Prop+Sem/Sur+Sg+Loc	Pykäläisis	pˈy.kæ.læj>.sis
Pylkkö+N+Prop+Ess	Pylkkön	pˈylk.kø>n
Pylkkö+N+Prop+Sg+Acc	Pylkkö	pˈylk.kø>
Pylkkönen+N+Prop+Sem/Sur+Sg+Acc	Pylkkönen	pˈylk.kø>.nen
Pylväinen+N+Prop+Sem/Sur+Pl+Nom	Pylväisat	pˈylː.væj>.sɑh
Pylväläinen+N+Prop+Sem/Sur+Ess	Pylväläinenin	pˈylː.væ.læj>.ne.nin
Pylvänäinen+N+Prop+Sem/Sur+Pl+Ill	Pylvänäineniidda	pˈylː.væ.næj>.ne.nijt.tɑ
Pylvänäinen+N+Prop+Sem/Sur+Sg+Acc	Pylvänäinen	pˈylː.væ.næj>.nen
Pylvänäinen+N+Prop+Sem/Sur+Pl+Nom	Pylvänäisat	pˈylː.væ.næj>.sɑh
Pylvänäinen+N+Prop+Sem/Sur+Sg+Loc	Pylvänäisis	pˈylː.væ.næj>.sis
Pynnönen+N+Prop+Sem/Sur+Sg+Gen+Allegro	Pynnönen	pˈyn.nø>.nen
Pynnönen+N+Prop+Sem/Sur+Ess	Pynnösin	pˈyn.nø>.sin
Pystynen+N+Prop+Sem/Sur+Ess	Pystynenin	pˈysː.ty>.ne.nin
Pystynen+N+Prop+Sem/Sur+Pl+Ill	Pystysiidda	pˈysː.ty>.sijt.tɑ
Pystynen+N+Prop+Sem/Sur+Sg+Gen	Pystysa	pˈysː.ty>.sɑ
Pyykölä+N+Prop+Sg+Gen	Pyykölä	pˈyy.kø.læ>
Pyysalo+N+Prop+Sem/Sur+Ess	Pyysalon	pˈyy#sˌɑ.lo>n
Pyörälä+N+Prop+Ess	Pyörälän	pˈyø.ræ.læ>n
Pyörälä+N+Prop+Sg+Acc	Pyörälä	pˈyø.ræ.læ>
Pyörälä+N+Prop+Sg+Com	Pyöräläin	pˈyø.ræ.læ>in
Pyörälä+N+Prop+Sg+Ill	Pyöräläi	pˈyø.ræ.læ>i
Pyörälä+N+Prop+Sg+Loc	Pyöräläs	pˈyø.ræ.læ>s
Päivinen+N+Prop+Sem/Sur+Ess	Päivisin	pˈæjː.vi>.sin
Päivinen+N+Prop+Sem/Sur+Pl+Nom	Päivisat	pˈæjː.vi>.sɑh
Päivinen+N+Prop+Sem/Sur+Sg+Gen	Päivisa	pˈæjː.vi>.sɑ
Päivinen+N+Prop+Sem/Sur+Sg+Loc	Päivisis	pˈæjː.vi>.sis
Päiväniemi+N+Prop+Ess	Päiväniemin	pˈæjː.væ#nˌie.mi>n
Päiväniemi+N+Prop+Sg+Acc	Päiväniemi	pˈæjː.væ#nˌie.mi>
Päiväniemi+N+Prop+Sg+Ill	Päiväniemii	pˈæjː.væ#nˌie.mi>i
Päivärinne+N+Prop+Sem/Sur+Pl+Nom	Päivärinnet	pˈæjː.væ#rˌin.ne>h
Päivärinne+N+Prop+Sem/Sur+Pl+Acc	Päivärinniid	pˈæjː.væ#rˌin.ni>id
Päkkilä+N+Prop+Sem/Sur+Ess	Päkkilän	pˈæk.ki.læ>n
Päkkilä+N+Prop+Sem/Sur+Pl+Acc	Päkkiläid	pˈæk.ki.læ>id
Päkkilä+N+Prop+Sem/Sur+Sg+Com	Päkkiläin	pˈæk.ki.læ>in
Päkkilä+N+Prop+Sem/Sur+Sg+Ill	Päkkiläi	pˈæk.ki.læ>i
Päkkilä+N+Prop+Sem/Sur+Sg+Loc	Päkkiläs	pˈæk.ki.læ>s
Pänkäläinen+N+Prop+Sem/Sur+Pl+Nom	Pänkäläinenat	pˈæŋŋ.kæ.læj>.ne.nɑh
Pänkäläinen+N+Prop+Sem/Sur+Pl+Acc	Pänkäläineniid	pˈæŋŋ.kæ.læj>.ne.nijh
Pänkäläinen+N+Prop+Sem/Sur+Sg+Acc	Pänkäläinena	pˈæŋŋ.kæ.læj>.ne.nɑ
Pänkäläinen+N+Prop+Sem/Sur+Sg+Ill	Pänkäläisii	pˈæŋŋ.kæ.læj>.sij
Pärkkä+N+Prop+Sem/Sur+Sg+Loc	Pärkkäs	pˈærk.kæ>s
Pärnänen+N+Prop+Sem/Sur+Pl+Nom	Pärnänenat	pˈær.næ>.ne.nɑh
Pärnänen+N+Prop+Sem/Sur+Sg+Acc	Pärnänena	pˈær.næ>.ne.nɑ
Pärssinen+N+Prop+Sem/Sur+Pl+Nom	Pärssinenat	pˈærs.si>.ne.nɑh
Pärssinen+N+Prop+Sem/Sur+Sg+Acc	Pärssinena	pˈærs.si>.ne.nɑ
Pärssinen+N+Prop+Sem/Sur+Sg+Ill	Pärssisii	pˈærs.si>.sij
Pätilä+N+Prop+Sem/Sur+Sg+Com	Pätiläin	pˈæ.ti.læ>in
Pätilä+N+Prop+Sem/Sur+Sg+Ill	Pätiläi	pˈæ.ti.læ>i
Pätynen+N+Prop+Sem/Sur+Pl+Nom	Pätynenat	pˈæ.ty>.ne.nɑh
Pätynen+N+Prop+Sem/Sur+Pl+Com	Pätyneniiguin	pˈæ.ty>.ne.nij.gujn
Pätynen+N+Prop+Sem/Sur+Pl+Nom	Pätysat	pˈæ.ty>.sɑh
Pääjärvi+N+Prop+Sg+Com	Pääjärvjn	pˈææ#jærv>jn
Pääkkölä+N+Prop+Sg+Nom	Pääkkölä	pˈææk.kø.læ>
Pääkkölä+N+Prop+Sg+Loc	Pääkköläs	pˈææk.kø.læ>s
Päätalo+N+Prop+Sem/Sur+Ess	Päätalon	pˈææ#tˌɑ.lo>n
Päätalo+N+Prop+Sem/Sur+Sg+Nom	Päätalo	pˈææ#tˌɑ.lo>
Pöllänen+N+Prop+Sem/Sur+Pl+Nom	Pöllänenat	pˈøl.læ>.ne.nɑh
Pöllänen+N+Prop+Sem/Sur+Pl+Ill	Pölläneniidda	pˈøl.læ>.ne.nijt.tɑ
Pöllänen+N+Prop+Sem/Sur+Sg+Loc	Pöllänenis	pˈøl.læ>.ne.nis
Pöllänen+N+Prop+Sem/Sur+Sg+Com	Pölläsiin	pˈøl.læ>.sijn
Pöllänen+N+Prop+Sem/Sur+Sg+Ill	Pölläsii	pˈøl.læ>.sij
Pönkänen+N+Prop+Sem/Sur+Sg+Ill	Pönkänenii	pˈøŋŋ.kæ>.ne.nij
Pönkänen+N+Prop+Sem/Sur+Pl+Nom	Pönkäsat	pˈøŋŋ.kæ>.sɑh
Pöntinen+N+Prop+Sem/Sur+Ess	Pöntinenin	pˈønː.ti>.ne.nin
Pöppönen+N+Prop+Sem/Sur+Pl+Nom	Pöppönenat	pˈøp.pø>.ne.nɑh
Pöppönen+N+Prop+Sem/Sur+Pl+Com	Pöppöneniiguin	pˈøp.pø>.ne.nij.gujn
Pöppönen+N+Prop+Sem/Sur+Sg+Gen	Pöppönena	pˈøp.pø>.ne.nɑ
Pöppönen+N+Prop+Sem/Sur+Pl+Nom	Pöppösat	pˈøp.pø>.sɑh
Pöppönen+N+Prop+Sem/Sur+Sg+Gen	Pöppösa	pˈøp.pø>.sɑ
Pöppönen+N+Prop+Sem/Sur+Sg+Ill	Pöppösii	pˈøp.pø>.sij
Pörhölä+N+Prop+Ess	Pörhölän	pˈør.hø.læ>n
Pörhölä+N+Prop+Sg+Gen	Pörhölä	pˈør.hø.læ>
Pörhölä+N+Prop+Sg+Loc	Pörhöläs	pˈør.hø.læ>s
Pöyhönen+N+Prop+Sem/Sur+Ess	Pöyhönenin	pˈø.y.hø>.ne.nin
Pöyhönen+N+Prop+Sem/Sur+Sg+Gen+Allegro	Pöyhönen	pˈø.y.hø>.nen
Pöyhönen+N+Prop+Sem/Sur+Sg+Com	Pöyhöneniin	pˈø.y.hø>.ne.nijn
Pöyhönen+N+Prop+Sem/Sur+Ess	Pöyhösin	pˈø.y.hø>.sin
Pöyhönen+N+Prop+Sem/Sur+Sg+Acc	Pöyhösa	pˈø.y.hø>.sɑ
Pöykkö+N+Prop+Ess	Pöykkön	pˈø.yk.kø>n
Pöykkö+N+Prop+Sg+Acc	Pöykkö	pˈø.yk.kø>
Pöykkö+N+Prop+Sg+Ill	Pöykköi	pˈø.yk.kø>i
Raasakka+N+Prop+Sem/Sur+Ess	Raasakkan	rˈɑː.sɑk.kɑ>n
Raasakka+N+Prop+Sem/Sur+Pl+Nom	Raasakkat	rˈɑː.sɑk.kɑ>h
Raasakka+N+Prop+Sem/Sur+Sg+Loc	Raasakkas	rˈɑː.sɑk.kɑ>s
Raatikainen+N+Prop+Sem/Sur+Pl+Ill	Raatikaineniidda	rˈɑː.ti.kɑj>.ne.nijt.tɑ
Raatikainen+N+Prop+Sem/Sur+Pl+Nom	Raatikaisat	rˈɑː.ti.kɑj>.sɑh
Rahikka+N+Prop+Sem/Sur+Sg+Ill	Rahikkai	rˈɑ.hik.kɑ>i
Rahikkala+N+Prop+Sem/Sur+Pl+Gen	Rahikkalaid	rˈɑ.hik.kˌɑ.lɑ>id
Rahkonen+N+Prop+Sem/Sur+Sg+Gen	Rahkosa	rˈɑh.ko>.sɑ
Rajalahti+N+Prop+Ess	Rajalahtin	rˈɑ.jɑ#lˌɑh.ti>n
Rajalahti+N+Prop+Sg+Acc	Rajalahti	rˈɑ.jɑ#lˌɑh.ti>
Rajala+N+Prop+Sem/Sur+Sg+Gen	Rajala	rˈɑ.jɑ.lɑ>
Rajaniemi+N+Prop+Sg+Acc	Rajaniemi	rˈɑ.jɑ#nˌie.mi>
Rakkola+N+Prop+Sem/Sur+Pl+Acc	Rakkolaid	rˈɑk.ko.lɑ>id
Rakkola+N+Prop+Sem/Sur+Pl+Gen	Rakkolaid	rˈɑk.ko.lɑ>id
Rakkola+N+Prop+Sem/Sur+Sg+Loc	Rakkolas	rˈɑk.ko.lɑ>s
Rakkolainen+N+Prop+Sem/Sur+Pl+Nom	Rakkolainenat	rˈɑk.ko.lɑj>.ne.nɑh
Rakkolainen+N+Prop+Sem/Sur+Sg+Com	Rakkolaineniin	rˈɑk.ko.lɑj>.ne.nijn
Raninen+N+Prop+Sem/Sur+Ess	Ranisin	rˈɑ.ni>.sin
Raninen+N+Prop+Sem/Sur+Pl+Com	Ranisiiguin	rˈɑ.ni>.sij.gujn
Rannisto+N+Prop+Sem/Sur+Pl+Gen	Rannistoid	rˈɑn.nis.to>id
Ranttila+N+Prop+Sem/Sur+Sg+Gen	Ranttila	rˈɑnt.ti.lɑ>
Rasanen+N+Prop+Sem/Sur+Pl+Loc	Rasasiin	rˈɑ.sɑ>.sijn
Rasilainen+N+Prop+Sem/Sur+Pl+Nom	Rasilainenat	rˈɑ.si.lɑj>.ne.nɑh
Ratilainen+N+Prop+Sem/Sur+Sg+Nom	Ratilainen	rˈɑ.ti.lɑj>.nen
Ratinen+N+Prop+Sem/Sur+Sg+Ill	Ratisii	rˈɑ.ti>.sij
Rauhaniemi+N+Prop+Sg+Nom	Rauhaniemi	rˈɑu.hɑ#nˌie.mi>
Rauhanen+N+Prop+Sem/Sur+Sg+Com	Rauhaneniin	rˈɑu.hɑ>.ne.nijn
Raula+N+Prop+Sg+Loc	Raulas	rˈɑu.lɑ>s
Rautjärvi+N+Prop+Sg+Gen	Rautjärv	rˈɑuh#jærv>
Rauvola+N+Prop+Sem/Sur+Sg+Loc	Rauvolas	rˈɑu.vo.lɑ>s
Ravattinen+N+Prop+Sem/Sur+Pl+Loc	Ravattineniin	rˈɑ.vɑt.ti>.ne.nijn
Ravattinen+N+Prop+Sem/Sur+Sg+Gen	Ravattinena	rˈɑ.vɑt.ti>.ne.nɑ
Ravattinen+N+Prop+Sem/Sur+Sg+Com	Ravattineniin	rˈɑ.vɑt.ti>.ne.nijn
Ravattinen+N+Prop+Sem/Sur+Pl+Ill	Ravattisiidda	rˈɑ.vɑt.ti>.sijt.tɑ
Ravila+N+Prop+Sem/Sur+Ess	Ravilan	rˈɑ.vi.lɑ>n
Ravila+N+Prop+Sem/Sur+Pl+Nom	Ravilat	rˈɑ.vi.lɑ>h
Ravila+N+Prop+Sem/Sur+Sg+Nom	Ravila	rˈɑ.vi.lɑ>
Rebekka+N+Prop+Sem/Fem+Pl+Nom	Rebekkat	rˈe.bek.kɑ>h
